Nombre,Naturaleza,Id,Tipo,Dirección,Localidad,Provincia,Código_Postal,FAX,Teléfono,Web
- Sin Denominación -,Público,[02010124],Conservatorio Superior de Música,"Cl. Zapateros, 25",Albacete,(Albacete),CP :02005,967215381,967240177,
- Sin Denominación -,Público,[02008932],Aula de Educación de Adultos,"Av. Castilla-La Mancha, S/N",Abengibre,(Albacete),CP :02250,,,
San Miguel,Público,[02009596],Escuela de Educación Infantil,"Cl. Maestro Jose Piqueras, 1",Abengibre,(Albacete),CP :02250,,967474500,
- Sin Denominación -,Público,[02010124],Conservatorio Superior de Música,"Cl. Zapateros, 25",Albacete,(Albacete),CP :02005,967215381,967240177,
- Sin Denominación -,Público,[02008932],Aula de Educación de Adultos,"Av. Castilla-La Mancha, S/N",Abengibre,(Albacete),CP :02250,,,
San Miguel,Público,[02009596],Escuela de Educación Infantil,"Cl. Maestro Jose Piqueras, 1",Abengibre,(Albacete),CP :02250,,967474500,
- Sin Denominación -,Público,[02010124],Conservatorio Superior de Música,"Cl. Zapateros, 25",Albacete,(Albacete),CP :02005,967215381,967240177,
- Sin Denominación -,Público,[02008932],Aula de Educación de Adultos,"Av. Castilla-La Mancha, S/N",Abengibre,(Albacete),CP :02250,,,
San Miguel,Público,[02009596],Escuela de Educación Infantil,"Cl. Maestro Jose Piqueras, 1",Abengibre,(Albacete),CP :02250,,967474500,
- Sin Denominación -,Público,[02010124],Conservatorio Superior de Música,"Cl. Zapateros, 25",Albacete,(Albacete),CP :02005,967215381,967240177,
- Sin Denominación -,Público,[02008932],Aula de Educación de Adultos,"Av. Castilla-La Mancha, S/N",Abengibre,(Albacete),CP :02250,,,
San Miguel,Público,[02009596],Escuela de Educación Infantil,"Cl. Maestro Jose Piqueras, 1",Abengibre,(Albacete),CP :02250,,967474500,
- Sin Denominación -,Público,[02010124],Conservatorio Superior de Música,"Cl. Zapateros, 25",Albacete,(Albacete),CP :02005,967215381,967240177,
- Sin Denominación -,Público,[02008932],Aula de Educación de Adultos,"Av. Castilla-La Mancha, S/N",Abengibre,(Albacete),CP :02250,,,
San Miguel,Público,[02009596],Escuela de Educación Infantil,"Cl. Maestro Jose Piqueras, 1",Abengibre,(Albacete),CP :02250,,967474500,
- Sin Denominación -,Público,[02010124],Conservatorio Superior de Música,"Cl. Zapateros, 25",Albacete,(Albacete),CP :02005,967215381,967240177,
- Sin Denominación -,Público,[02008932],Aula de Educación de Adultos,"Av. Castilla-La Mancha, S/N",Abengibre,(Albacete),CP :02250,,,
San Miguel,Público,[02009596],Escuela de Educación Infantil,"Cl. Maestro Jose Piqueras, 1",Abengibre,(Albacete),CP :02250,,967474500,
- Sin Denominación -,Público,[02010124],Conservatorio Superior de Música,"Cl. Zapateros, 25",Albacete,(Albacete),CP :02005,967215381,967240177,
- Sin Denominación -,Público,[02008932],Aula de Educación de Adultos,"Av. Castilla-La Mancha, S/N",Abengibre,(Albacete),CP :02250,,,
San Miguel,Público,[02009596],Escuela de Educación Infantil,"Cl. Maestro Jose Piqueras, 1",Abengibre,(Albacete),CP :02250,,967474500,
- Sin Denominación -,Público,[02010124],Conservatorio Superior de Música,"Cl. Zapateros, 25",Albacete,(Albacete),CP :02005,967215381,967240177,
- Sin Denominación -,Público,[02008932],Aula de Educación de Adultos,"Av. Castilla-La Mancha, S/N",Abengibre,(Albacete),CP :02250,,,
San Miguel,Público,[02009596],Escuela de Educación Infantil,"Cl. Maestro Jose Piqueras, 1",Abengibre,(Albacete),CP :02250,,967474500,
- Sin Denominación -,Público,[02010124],Conservatorio Superior de Música,"Cl. Zapateros, 25",Albacete,(Albacete),CP :02005,967215381,967240177,
- Sin Denominación -,Público,[02008932],Aula de Educación de Adultos,"Av. Castilla-La Mancha, S/N",Abengibre,(Albacete),CP :02250,,,
San Miguel,Público,[02009596],Escuela de Educación Infantil,"Cl. Maestro Jose Piqueras, 1",Abengibre,(Albacete),CP :02250,,967474500,
- Sin Denominación -,Público,[02010124],Conservatorio Superior de Música,"Cl. Zapateros, 25",Albacete,(Albacete),CP :02005,967215381,967240177,
- Sin Denominación -,Público,[02008932],Aula de Educación de Adultos,"Av. Castilla-La Mancha, S/N",Abengibre,(Albacete),CP :02250,,,
San Miguel,Público,[02009596],Escuela de Educación Infantil,"Cl. Maestro Jose Piqueras, 1",Abengibre,(Albacete),CP :02250,,967474500,
- Sin Denominación -,Público,[02010124],Conservatorio Superior de Música,"Cl. Zapateros, 25",Albacete,(Albacete),CP :02005,967215381,967240177,
- Sin Denominación -,Público,[02008932],Aula de Educación de Adultos,"Av. Castilla-La Mancha, S/N",Abengibre,(Albacete),CP :02250,,,
San Miguel,Público,[02009596],Escuela de Educación Infantil,"Cl. Maestro Jose Piqueras, 1",Abengibre,(Albacete),CP :02250,,967474500,
- Sin Denominación -,Público,[02010124],Conservatorio Superior de Música,"Cl. Zapateros, 25",Albacete,(Albacete),CP :02005,967215381,967240177,
- Sin Denominación -,Público,[02008932],Aula de Educación de Adultos,"Av. Castilla-La Mancha, S/N",Abengibre,(Albacete),CP :02250,,,
San Miguel,Público,[02009596],Escuela de Educación Infantil,"Cl. Maestro Jose Piqueras, 1",Abengibre,(Albacete),CP :02250,,967474500,
- Sin Denominación -,Público,[02010124],Conservatorio Superior de Música,"Cl. Zapateros, 25",Albacete,(Albacete),CP :02005,967215381,967240177,
- Sin Denominación -,Público,[02008932],Aula de Educación de Adultos,"Av. Castilla-La Mancha, S/N",Abengibre,(Albacete),CP :02250,,,
San Miguel,Público,[02009596],Escuela de Educación Infantil,"Cl. Maestro Jose Piqueras, 1",Abengibre,(Albacete),CP :02250,,967474500,
- Sin Denominación -,Público,[02010124],Conservatorio Superior de Música,"Cl. Zapateros, 25",Albacete,(Albacete),CP :02005,967215381,967240177,
- Sin Denominación -,Público,[02008932],Aula de Educación de Adultos,"Av. Castilla-La Mancha, S/N",Abengibre,(Albacete),CP :02250,,,
San Miguel,Público,[02009596],Escuela de Educación Infantil,"Cl. Maestro Jose Piqueras, 1",Abengibre,(Albacete),CP :02250,,967474500,
- Sin Denominación -,Público,[02010124],Conservatorio Superior de Música,"Cl. Zapateros, 25",Albacete,(Albacete),CP :02005,967215381,967240177,
- Sin Denominación -,Público,[02008932],Aula de Educación de Adultos,"Av. Castilla-La Mancha, S/N",Abengibre,(Albacete),CP :02250,,,
San Miguel,Público,[02009596],Escuela de Educación Infantil,"Cl. Maestro Jose Piqueras, 1",Abengibre,(Albacete),CP :02250,,967474500,
- Sin Denominación -,Público,[02010124],Conservatorio Superior de Música,"Cl. Zapateros, 25",Albacete,(Albacete),CP :02005,967215381,967240177,
- Sin Denominación -,Público,[02008932],Aula de Educación de Adultos,"Av. Castilla-La Mancha, S/N",Abengibre,(Albacete),CP :02250,,,
San Miguel,Público,[02009596],Escuela de Educación Infantil,"Cl. Maestro Jose Piqueras, 1",Abengibre,(Albacete),CP :02250,,967474500,
- Sin Denominación -,Público,[02010124],Conservatorio Superior de Música,"Cl. Zapateros, 25",Albacete,(Albacete),CP :02005,967215381,967240177,
- Sin Denominación -,Público,[02008932],Aula de Educación de Adultos,"Av. Castilla-La Mancha, S/N",Abengibre,(Albacete),CP :02250,,,
San Miguel,Público,[02009596],Escuela de Educación Infantil,"Cl. Maestro Jose Piqueras, 1",Abengibre,(Albacete),CP :02250,,967474500,
- Sin Denominación -,Público,[02010124],Conservatorio Superior de Música,"Cl. Zapateros, 25",Albacete,(Albacete),CP :02005,967215381,967240177,
- Sin Denominación -,Público,[02008932],Aula de Educación de Adultos,"Av. Castilla-La Mancha, S/N",Abengibre,(Albacete),CP :02250,,,
San Miguel,Público,[02009596],Escuela de Educación Infantil,"Cl. Maestro Jose Piqueras, 1",Abengibre,(Albacete),CP :02250,,967474500,
- Sin Denominación -,Público,[02010124],Conservatorio Superior de Música,"Cl. Zapateros, 25",Albacete,(Albacete),CP :02005,967215381,967240177,
- Sin Denominación -,Público,[02008932],Aula de Educación de Adultos,"Av. Castilla-La Mancha, S/N",Abengibre,(Albacete),CP :02250,,,
San Miguel,Público,[02009596],Escuela de Educación Infantil,"Cl. Maestro Jose Piqueras, 1",Abengibre,(Albacete),CP :02250,,967474500,
- Sin Denominación -,Público,[02010124],Conservatorio Superior de Música,"Cl. Zapateros, 25",Albacete,(Albacete),CP :02005,967215381,967240177,
- Sin Denominación -,Público,[02008932],Aula de Educación de Adultos,"Av. Castilla-La Mancha, S/N",Abengibre,(Albacete),CP :02250,,,
San Miguel,Público,[02009596],Escuela de Educación Infantil,"Cl. Maestro Jose Piqueras, 1",Abengibre,(Albacete),CP :02250,,967474500,
- Sin Denominación -,Público,[02010124],Conservatorio Superior de Música,"Cl. Zapateros, 25",Albacete,(Albacete),CP :02005,967215381,967240177,
- Sin Denominación -,Público,[02008932],Aula de Educación de Adultos,"Av. Castilla-La Mancha, S/N",Abengibre,(Albacete),CP :02250,,,
San Miguel,Público,[02009596],Escuela de Educación Infantil,"Cl. Maestro Jose Piqueras, 1",Abengibre,(Albacete),CP :02250,,967474500,
- Sin Denominación -,Público,[02010124],Conservatorio Superior de Música,"Cl. Zapateros, 25",Albacete,(Albacete),CP :02005,967215381,967240177,
- Sin Denominación -,Público,[02008932],Aula de Educación de Adultos,"Av. Castilla-La Mancha, S/N",Abengibre,(Albacete),CP :02250,,,
San Miguel,Público,[02009596],Escuela de Educación Infantil,"Cl. Maestro Jose Piqueras, 1",Abengibre,(Albacete),CP :02250,,967474500,
- Sin Denominación -,Público,[02010124],Conservatorio Superior de Música,"Cl. Zapateros, 25",Albacete,(Albacete),CP :02005,967215381,967240177,
- Sin Denominación -,Público,[02008932],Aula de Educación de Adultos,"Av. Castilla-La Mancha, S/N",Abengibre,(Albacete),CP :02250,,,
San Miguel,Público,[02009596],Escuela de Educación Infantil,"Cl. Maestro Jose Piqueras, 1",Abengibre,(Albacete),CP :02250,,967474500,
- Sin Denominación -,Público,[02010124],Conservatorio Superior de Música,"Cl. Zapateros, 25",Albacete,(Albacete),CP :02005,967215381,967240177,
- Sin Denominación -,Público,[02008932],Aula de Educación de Adultos,"Av. Castilla-La Mancha, S/N",Abengibre,(Albacete),CP :02250,,,
San Miguel,Público,[02009596],Escuela de Educación Infantil,"Cl. Maestro Jose Piqueras, 1",Abengibre,(Albacete),CP :02250,,967474500,
- Sin Denominación -,Público,[02010124],Conservatorio Superior de Música,"Cl. Zapateros, 25",Albacete,(Albacete),CP :02005,967215381,967240177,
- Sin Denominación -,Público,[02008932],Aula de Educación de Adultos,"Av. Castilla-La Mancha, S/N",Abengibre,(Albacete),CP :02250,,,
San Miguel,Público,[02009596],Escuela de Educación Infantil,"Cl. Maestro Jose Piqueras, 1",Abengibre,(Albacete),CP :02250,,967474500,
- Sin Denominación -,Público,[02010124],Conservatorio Superior de Música,"Cl. Zapateros, 25",Albacete,(Albacete),CP :02005,967215381,967240177,
- Sin Denominación -,Público,[02008932],Aula de Educación de Adultos,"Av. Castilla-La Mancha, S/N",Abengibre,(Albacete),CP :02250,,,
San Miguel,Público,[02009596],Escuela de Educación Infantil,"Cl. Maestro Jose Piqueras, 1",Abengibre,(Albacete),CP :02250,,967474500,
- Sin Denominación -,Público,[02010124],Conservatorio Superior de Música,"Cl. Zapateros, 25",Albacete,(Albacete),CP :02005,967215381,967240177,
- Sin Denominación -,Público,[02008932],Aula de Educación de Adultos,"Av. Castilla-La Mancha, S/N",Abengibre,(Albacete),CP :02250,,,
San Miguel,Público,[02009596],Escuela de Educación Infantil,"Cl. Maestro Jose Piqueras, 1",Abengibre,(Albacete),CP :02250,,967474500,
- Sin Denominación -,Público,[02010124],Conservatorio Superior de Música,"Cl. Zapateros, 25",Albacete,(Albacete),CP :02005,967215381,967240177,
- Sin Denominación -,Público,[02008932],Aula de Educación de Adultos,"Av. Castilla-La Mancha, S/N",Abengibre,(Albacete),CP :02250,,,
San Miguel,Público,[02009596],Escuela de Educación Infantil,"Cl. Maestro Jose Piqueras, 1",Abengibre,(Albacete),CP :02250,,967474500,
- Sin Denominación -,Público,[02010124],Conservatorio Superior de Música,"Cl. Zapateros, 25",Albacete,(Albacete),CP :02005,967215381,967240177,
- Sin Denominación -,Público,[02008932],Aula de Educación de Adultos,"Av. Castilla-La Mancha, S/N",Abengibre,(Albacete),CP :02250,,,
San Miguel,Público,[02009596],Escuela de Educación Infantil,"Cl. Maestro Jose Piqueras, 1",Abengibre,(Albacete),CP :02250,,967474500,
- Sin Denominación -,Público,[02010124],Conservatorio Superior de Música,"Cl. Zapateros, 25",Albacete,(Albacete),CP :02005,967215381,967240177,
- Sin Denominación -,Público,[02008932],Aula de Educación de Adultos,"Av. Castilla-La Mancha, S/N",Abengibre,(Albacete),CP :02250,,,
San Miguel,Público,[02009596],Escuela de Educación Infantil,"Cl. Maestro Jose Piqueras, 1",Abengibre,(Albacete),CP :02250,,967474500,
- Sin Denominación -,Público,[02010124],Conservatorio Superior de Música,"Cl. Zapateros, 25",Albacete,(Albacete),CP :02005,967215381,967240177,
- Sin Denominación -,Público,[02008932],Aula de Educación de Adultos,"Av. Castilla-La Mancha, S/N",Abengibre,(Albacete),CP :02250,,,
San Miguel,Público,[02009596],Escuela de Educación Infantil,"Cl. Maestro Jose Piqueras, 1",Abengibre,(Albacete),CP :02250,,967474500,
- Sin Denominación -,Público,[02010124],Conservatorio Superior de Música,"Cl. Zapateros, 25",Albacete,(Albacete),CP :02005,967215381,967240177,
- Sin Denominación -,Público,[02008932],Aula de Educación de Adultos,"Av. Castilla-La Mancha, S/N",Abengibre,(Albacete),CP :02250,,,
San Miguel,Público,[02009596],Escuela de Educación Infantil,"Cl. Maestro Jose Piqueras, 1",Abengibre,(Albacete),CP :02250,,967474500,
- Sin Denominación -,Público,[02010124],Conservatorio Superior de Música,"Cl. Zapateros, 25",Albacete,(Albacete),CP :02005,967215381,967240177,
- Sin Denominación -,Público,[02008932],Aula de Educación de Adultos,"Av. Castilla-La Mancha, S/N",Abengibre,(Albacete),CP :02250,,,
San Miguel,Público,[02009596],Escuela de Educación Infantil,"Cl. Maestro Jose Piqueras, 1",Abengibre,(Albacete),CP :02250,,967474500,
- Sin Denominación -,Público,[02010124],Conservatorio Superior de Música,"Cl. Zapateros, 25",Albacete,(Albacete),CP :02005,967215381,967240177,
- Sin Denominación -,Público,[02008932],Aula de Educación de Adultos,"Av. Castilla-La Mancha, S/N",Abengibre,(Albacete),CP :02250,,,
San Miguel,Público,[02009596],Escuela de Educación Infantil,"Cl. Maestro Jose Piqueras, 1",Abengibre,(Albacete),CP :02250,,967474500,
- Sin Denominación -,Público,[02010124],Conservatorio Superior de Música,"Cl. Zapateros, 25",Albacete,(Albacete),CP :02005,967215381,967240177,
- Sin Denominación -,Público,[02008932],Aula de Educación de Adultos,"Av. Castilla-La Mancha, S/N",Abengibre,(Albacete),CP :02250,,,
San Miguel,Público,[02009596],Escuela de Educación Infantil,"Cl. Maestro Jose Piqueras, 1",Abengibre,(Albacete),CP :02250,,967474500,
- Sin Denominación -,Público,[02010124],Conservatorio Superior de Música,"Cl. Zapateros, 25",Albacete,(Albacete),CP :02005,967215381,967240177,
- Sin Denominación -,Público,[02008932],Aula de Educación de Adultos,"Av. Castilla-La Mancha, S/N",Abengibre,(Albacete),CP :02250,,,
San Miguel,Público,[02009596],Escuela de Educación Infantil,"Cl. Maestro Jose Piqueras, 1",Abengibre,(Albacete),CP :02250,,967474500,
- Sin Denominación -,Público,[02010124],Conservatorio Superior de Música,"Cl. Zapateros, 25",Albacete,(Albacete),CP :02005,967215381,967240177,
- Sin Denominación -,Público,[02008932],Aula de Educación de Adultos,"Av. Castilla-La Mancha, S/N",Abengibre,(Albacete),CP :02250,,,
San Miguel,Público,[02009596],Escuela de Educación Infantil,"Cl. Maestro Jose Piqueras, 1",Abengibre,(Albacete),CP :02250,,967474500,
- Sin Denominación -,Público,[02010124],Conservatorio Superior de Música,"Cl. Zapateros, 25",Albacete,(Albacete),CP :02005,967215381,967240177,
- Sin Denominación -,Público,[02008932],Aula de Educación de Adultos,"Av. Castilla-La Mancha, S/N",Abengibre,(Albacete),CP :02250,,,
San Miguel,Público,[02009596],Escuela de Educación Infantil,"Cl. Maestro Jose Piqueras, 1",Abengibre,(Albacete),CP :02250,,967474500,
- Sin Denominación -,Público,[02010124],Conservatorio Superior de Música,"Cl. Zapateros, 25",Albacete,(Albacete),CP :02005,967215381,967240177,
- Sin Denominación -,Público,[02008932],Aula de Educación de Adultos,"Av. Castilla-La Mancha, S/N",Abengibre,(Albacete),CP :02250,,,
San Miguel,Público,[02009596],Escuela de Educación Infantil,"Cl. Maestro Jose Piqueras, 1",Abengibre,(Albacete),CP :02250,,967474500,
- Sin Denominación -,Público,[02010124],Conservatorio Superior de Música,"Cl. Zapateros, 25",Albacete,(Albacete),CP :02005,967215381,967240177,
- Sin Denominación -,Público,[02008932],Aula de Educación de Adultos,"Av. Castilla-La Mancha, S/N",Abengibre,(Albacete),CP :02250,,,
San Miguel,Público,[02009596],Escuela de Educación Infantil,"Cl. Maestro Jose Piqueras, 1",Abengibre,(Albacete),CP :02250,,967474500,
- Sin Denominación -,Público,[02010124],Conservatorio Superior de Música,"Cl. Zapateros, 25",Albacete,(Albacete),CP :02005,967215381,967240177,
- Sin Denominación -,Público,[02008932],Aula de Educación de Adultos,"Av. Castilla-La Mancha, S/N",Abengibre,(Albacete),CP :02250,,,
San Miguel,Público,[02009596],Escuela de Educación Infantil,"Cl. Maestro Jose Piqueras, 1",Abengibre,(Albacete),CP :02250,,967474500,
- Sin Denominación -,Público,[02010124],Conservatorio Superior de Música,"Cl. Zapateros, 25",Albacete,(Albacete),CP :02005,967215381,967240177,
- Sin Denominación -,Público,[02008932],Aula de Educación de Adultos,"Av. Castilla-La Mancha, S/N",Abengibre,(Albacete),CP :02250,,,
San Miguel,Público,[02009596],Escuela de Educación Infantil,"Cl. Maestro Jose Piqueras, 1",Abengibre,(Albacete),CP :02250,,967474500,
- Sin Denominación -,Público,[02010124],Conservatorio Superior de Música,"Cl. Zapateros, 25",Albacete,(Albacete),CP :02005,967215381,967240177,
- Sin Denominación -,Público,[02008932],Aula de Educación de Adultos,"Av. Castilla-La Mancha, S/N",Abengibre,(Albacete),CP :02250,,,
